Country Name,Country Code,Series Name,Series Code,2014 [YR2014],2015 [YR2015],2016 [YR2016],2017 [YR2017],2018 [YR2018],2019 [YR2019],2020 [YR2020],2021 [YR2021]
Algeria,DZA,"GNI per capita, Atlas method (current US$)",NY.GNP.PCAP.CD,5490,4850,4370,3950,3980,4010,3570,..
Andorra,AND,"GNI per capita, Atlas method (current US$)",NY.GNP.PCAP.CD,..,..,..,..,..,..,..,..
Armenia,ARM,"GNI per capita, Atlas method (current US$)",NY.GNP.PCAP.CD,4140,4010,3760,3950,4240,4660,4220,..
Antigua and Barbuda,ATG,"GNI per capita, Atlas method (current US$)",NY.GNP.PCAP.CD,12760,12850,13580,14320,15880,16420,13750,..
Australia,AUS,"GNI per capita, Atlas method (current US$)",NY.GNP.PCAP.CD,65180,60490,54090,51480,53070,54910,53680,..
Azerbaijan,AZE,"GNI per capita, Atlas method (current US$)",NY.GNP.PCAP.CD,7740,6610,4790,4110,4080,4510,4480,..
Bahrain,BHR,"GNI per capita, Atlas method (current US$)",NY.GNP.PCAP.CD,24070,22580,21570,21250,22000,22230,19900,..
Barbados,BRB,"GNI per capita, Atlas method (current US$)",NY.GNP.PCAP.CD,15630,15740,15920,16070,16700,17380,14350,..
Belgium,BEL,"GNI per capita, Atlas method (current US$)",NY.GNP.PCAP.CD,47820,45570,43400,42520,46070,48060,45800,..
Benin,BEN,"GNI per capita, Atlas method (current US$)",NY.GNP.PCAP.CD,1270,1180,1110,1090,1200,1250,1280,..
Bhutan,BTN,"GNI per capita, Atlas method (current US$)",NY.GNP.PCAP.CD,2460,2520,2650,2800,2970,3150,2840,..
Bosnia and Herzegovina,BIH,"GNI per capita, Atlas method (current US$)",NY.GNP.PCAP.CD,5300,5210,5130,5120,5750,6180,6080,..
Brazil,BRA,"GNI per capita, Atlas method (current US$)",NY.GNP.PCAP.CD,12120,10190,8920,8700,9170,9270,7850,..
Brunei Darussalam,BRN,"GNI per capita, Atlas method (current US$)",NY.GNP.PCAP.CD,43090,38850,33170,29800,29390,32230,31510,..
Burkina Faso,BFA,"GNI per capita, Atlas method (current US$)",NY.GNP.PCAP.CD,760,700,680,670,750,770,770,..
Cabo Verde,CPV,"GNI per capita, Atlas method (current US$)",NY.GNP.PCAP.CD,3360,3210,3130,3080,3400,3630,3060,..
American Samoa,ASM,"GNI per capita, Atlas method (current US$)",NY.GNP.PCAP.CD,..,..,..,..,..,..,..,..
Angola,AGO,"GNI per capita, Atlas method (current US$)",NY.GNP.PCAP.CD,5010,4520,3770,3450,3210,2970,2140,..
Argentina,ARG,"GNI per capita, Atlas method (current US$)",NY.GNP.PCAP.CD,12330,12590,12220,13140,12430,11250,9070,..
Aruba,ABW,"GNI per capita, Atlas method (current US$)",NY.GNP.PCAP.CD,25350,26560,26840,27120,..,..,..,..
Austria,AUT,"GNI per capita, Atlas method (current US$)",NY.GNP.PCAP.CD,50390,47480,46240,45040,49010,51010,48360,..
"Bahamas, The",BHS,"GNI per capita, Atlas method (current US$)",NY.GNP.PCAP.CD,28110,28670,29020,30090,31150,32260,26070,..
Bangladesh,BGD,"GNI per capita, Atlas method (current US$)",NY.GNP.PCAP.CD,1110,1220,1370,1520,1750,1930,2030,..
Belarus,BLR,"GNI per capita, Atlas method (current US$)",NY.GNP.PCAP.CD,7620,6750,5640,5320,5730,6370,6360,..
Belize,BLZ,"GNI per capita, Atlas method (current US$)",NY.GNP.PCAP.CD,4260,4400,4340,4420,4620,4690,4110,..
Bermuda,BMU,"GNI per capita, Atlas method (current US$)",NY.GNP.PCAP.CD,99920,101120,103620,112940,117000,117740,112240,..
