country_name,country_code,year,Account ownership at a financial institution or with a mobile-money-service provider (% of population ages 15+),"Borrowers from commercial banks (per 1,000 adults)","Commercial bank branches (per 100,000 adults)","GDP per capita, PPP (constant 2017 international $)","Employment in agriculture, female (% of female employment) (modeled ILO estimate)","Employment in agriculture, male (% of male employment) (modeled ILO estimate)",Employment in agriculture (% of total employment) (modeled ILO estimate),Firms formally registered when operations started (% of firms),"Vulnerable employment, female (% of female employment) (modeled ILO estimate)","Vulnerable employment, total (% of total employment) (modeled ILO estimate)","Vulnerable employment, male (% of male employment) (modeled ILO estimate)","Wage and salaried workers, female (% of female employment) (modeled ILO estimate)","Wage and salaried workers, total (% of total employment) (modeled ILO estimate)","Wage and salaried workers, male (% of male employment) (modeled ILO estimate)",Urban population (% of total population),Trade (% of GDP),Food imports (% of merchandise imports),Food exports (% of merchandise exports),People using at least basic drinking water services (% of population),"People using at least basic drinking water services, urban (% of urban population)","People using at least basic drinking water services, rural (% of rural population)",People using safely managed drinking water services (% of population),"People using safely managed drinking water services, urban (% of urban population)","People using safely managed drinking water services, rural (% of rural population)",Access to electricity (% of population),"Access to electricity, urban (% of urban population)","Access to electricity, rural (% of rural population)",Coverage of social insurance programs (% of population),Coverage of social safety net programs (% of population),Coverage of unemployment benefits and ALMP (% of population),Coverage of social protection and labor programs (% of population)
Afghanistan,AFG,2014,9.96100044250488,2.99,2.3,2102.38460375974,69.1800003051758,44.0900001525879,48.4099998474121,92.3,94.4999980926514,83.3300018310547,81.0199975967408,4.80000019073486,15.1300001144409,17.2700004577637,24.587,NA,9.51326057195841,14.4956237464036,58.65937353,83.90541922,50.42836977,22.52343729,31.57282802,19.57305166,89.5,98.7,86.5005119066394,NA,NA,NA,NA
Albania,ALB,2014,37.9863548278809,154.13,22.07,11586.8637666424,49.8800010681152,36.7599983215332,42.2599983215332,NA,58.1900005340577,55.9799995422364,54.3899993896484,41.2799987792969,42.0699996948242,42.6500015258789,56.423,75.4078340584307,10.3265556378275,3.00290920278718,93.02005646,95.40024078,89.93822058,70.56325981,NA,NA,99.95,100,100,NA,NA,NA,NA
Algeria,DZA,2014,50.4757881164551,42.54,5.21,11512.7051094875,3.46000003814697,11.9499998092651,10.4899997711182,NA,24.1099996566772,26.9600007534027,27.5500006675721,73.9599990844727,68.8099975585938,67.7399978637695,70.221,62.4143163733597,20.103368598577,0.539747166610679,93.19235149,95.38752947,88.01595769,75.97178915,80.64198937,64.95911816,99.0740356445313,99.7394790649414,97.5048727781051,NA,NA,NA,NA
American Samoa,ASM,2014,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,87.288,174.805598755832,NA,NA,99.5417689,NA,NA,94.84363845,NA,NA,NA,NA,NA,NA,NA,NA,NA
Andorra,AND,2014,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,88.441,NA,23.2800068450214,1.23638645475137,100.0000012,100,100,90.64000109,NA,NA,100,100,100,NA,NA,NA,NA
Angola,AGO,2014,29.3181209564209,15.89,10.19,8239.8306720725,58.2000007629395,44.1500015258789,51.1399993896484,NA,83.0900020599366,70.0699996948242,57.1699981689453,14.3500003814697,25.5200004577637,36.5900001525879,62.731,79.3329275092697,16.9800790579802,0.0851709530224955,53.5415069,69.69716582,26.34838081,NA,NA,NA,32,51,3.8150702987396,NA,NA,NA,NA
Antigua and Barbuda,ATG,2014,NA,NA,30.82,18104.4073367164,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,25.175,156.154794504309,22.5423497104519,25.6778831813873,96.73918628,NA,NA,NA,NA,NA,100,100,100,NA,NA,NA,NA
Argentina,ARG,2014,50.1972961425781,355.92,13.23,23550.0990599374,0.159999996423721,0.819999992847443,0.550000011920929,92.3,17.2200004458428,20.1800003647804,22.2099993824958,80.5100021362305,76.3499984741211,73.4800033569336,91.377,28.4067936452275,2.42165435253748,54.346183406447,98.90931952,99.46851153,92.98366005,NA,NA,NA,100,100,100,31.44235611,16.80849178,0.7299135247,44.69378723
Armenia,ARM,2014,17.6690654754639,NA,22.71,11019.838784895,40.5699996948242,29.9400005340576,34.8300018310547,NA,44.9900007247924,42.7299990653992,40.7999997138977,54.4500007629395,55.8600006103516,57.060001373291,63.112,75.778866962639,18.8618666911004,29.7812614026326,99.44055835,99.81718162,98.79619023,83.63866051,NA,NA,99.71,99.66,99.7955454624151,54.7513338154784,28.3956683352025,0.887204434746282,66.7626498336844
Aruba,ABW,2014,NA,NA,19.06,35875.6298298588,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,43.041,162.882083851024,27.9182994702296,68.2935880674196,97.86902338,NA,NA,NA,NA,NA,100,100,100,NA,NA,NA,NA
